level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
5,1,1,1,1,1,253,124,73,21,96,REAL,others
5,1,1,1,1,2,338,124,128,21,96,SHIPPER,others
5,1,1,1,1,3,1636,120,140,37,96,BOOKING,others
5,1,1,1,1,4,1841,124,4,26,57,I,others
5,1,2,1,1,1,253,166,34,22,92,LA,shipper
5,1,2,1,1,2,300,166,104,23,90,NUOVA,shipper
5,1,2,1,1,3,416,166,60,22,95,GPR,shipper
5,1,2,1,1,4,488,166,55,22,96,SRL,shipper
5,1,2,1,1,5,1635,166,176,23,91,CNAN12758,others
5,1,2,1,2,1,251,210,52,22,93,VIA,shipper
5,1,2,1,2,2,317,210,157,22,92,MORIGGIA,shipper
5,1,2,1,2,3,487,210,53,22,96,294,shipper
5,1,2,1,2,4,1635,210,192,22,91,CARICATORE,others
5,1,2,1,3,1,253,253,90,22,92,21050,shipper
5,1,2,1,3,2,358,253,223,22,91,CASTELSEPRIO,shipper
5,1,2,1,3,3,595,252,62,29,96,(VA),shipper
5,1,2,1,3,4,1635,253,58,22,92,CCS,others
5,1,2,1,3,5,1707,253,125,23,90,CUTILLO,others
5,1,2,1,3,6,1846,253,104,23,95,CARGO,others
5,1,2,1,3,7,1963,253,174,22,96,SOLUTIONS,others
5,1,2,1,3,8,2151,253,55,22,96,SRL,others
5,1,2,1,4,1,252,297,83,22,96,ITALY,shipper
5,1,2,1,5,1,1010,341,190,23,89,23E00199CG,others
5,1,2,1,5,2,1636,341,46,22,68,PH:,others
5,1,2,1,5,3,1699,341,53,23,91,10,others
5,1,2,1,5,4,1766,341,90,22,95,60321,others
5,1,2,1,6,1,253,376,73,21,91,REAL,others
5,1,2,1,6,2,338,376,178,21,88,CONSIGNEE,others
5,1,2,1,6,3,1636,376,47,21,91,NR.,others
5,1,2,1,6,4,1710,376,48,25,91,P/C,others
5,1,2,1,6,5,1771,376,160,22,90,ORIGINALI,others
5,1,2,1,6,6,2115,376,90,21,92,COPIE,others
5,1,2,1,7,1,253,419,75,22,92,EURL,consignee
5,1,2,1,7,2,340,419,53,22,90,STE,consignee
5,1,2,1,7,3,408,419,123,23,90,HAROUN,consignee
5,1,2,1,7,4,546,419,116,23,96,IMPORT,consignee
5,1,2,1,7,5,675,419,116,23,95,EXPORT,consignee
5,1,2,1,7,6,804,419,151,23,95,PRODUITS,consignee
5,1,2,1,7,7,970,419,111,22,96,DIVERS,consignee
5,1,2,1,7,8,1636,415,126,36,92,3/THREE,others
5,1,2,1,7,9,2104,419,90,22,92,SETTE,others
5,1,2,1,8,1,252,462,67,22,95,CITE,consignee
5,1,2,1,8,2,334,462,56,22,93,DES,consignee
5,1,2,1,8,3,405,462,135,23,92,MURIERS,consignee
5,1,2,1,8,4,555,462,56,23,93,RUE,consignee
5,1,2,1,8,5,626,462,14,22,92,E,consignee
5,1,2,1,8,6,655,462,33,22,95,N?,consignee
5,1,2,1,8,7,704,462,33,22,95,14,consignee
5,1,2,1,8,8,1636,462,78,22,93,DATA,others
5,1,2,1,8,9,1727,462,48,27,91,P/C,others
5,1,2,1,9,1,253,506,90,23,93,25000,consignee
5,1,2,1,9,2,358,506,214,22,92,CONSTANTINE,consignee
5,1,2,1,9,3,584,506,128,22,92,ALGERIE,consignee
5,1,2,1,9,4,1647,506,153,22,90,PARTENZA,others
5,1,2,1,9,5,1814,506,76,22,96,NAVE,others
5,1,2,1,10,1,254,550,56,21,89,NIF,consignee
5,1,2,1,10,2,323,549,290,22,89,2.25E+11,consignee
5,1,2,1,10,3,1636,549,103,22,91,LUOGO,others
5,1,2,1,10,4,1754,549,103,22,90,RITIRO,others
5,1,2,1,10,5,1872,549,34,22,96,BL,others
5,1,2,1,11,1,252,593,85,22,92,email:,consignee
5,1,2,1,11,2,355,592,401,27,90,eurlsteharoun61@yahoo.fr;,consignee
5,1,2,1,11,3,772,593,43,22,96,tel.,consignee
5,1,2,1,11,4,831,593,76,22,96,213,consignee
5,1,2,1,11,5,922,593,148,22,96,69935664,consignee
5,1,2,1,12,1,253,623,108,36,96,NOTIFY,others
5,1,2,1,12,2,426,628,4,26,53,I,others
5,1,3,1,1,1,252,671,81,22,95,SAME,notify
5,1,3,1,1,2,345,671,38,22,93,AS,notify
5,1,3,1,1,3,397,671,177,22,93,CONSIGNEE,notify
5,1,4,1,1,1,253,750,90,21,96,PLACE,others
5,1,4,1,1,2,356,750,38,22,96,OF,others
5,1,4,1,1,3,408,750,124,21,96,RECEIPT,others
5,1,4,1,1,4,653,750,4,25,45,|,others
5,1,5,1,1,1,251,824,113,37,96,VESSEL,others
5,1,5,1,1,2,415,824,15,37,43,Il,others
5,1,5,1,1,3,1206,828,77,22,96,PORT,others
5,1,5,1,1,4,1295,828,38,22,96,OF,others
5,1,5,1,1,5,1347,828,135,22,95,LOADING,others
5,1,5,2,1,1,253,870,112,22,91,DJANET,others
5,1,5,2,1,2,1206,870,118,22,96,MARINA,port_of_loading
5,1,5,2,1,3,1337,870,31,22,91,DI,port_of_loading
5,1,5,2,1,4,1382,870,140,22,92,CARRARA,port_of_loading
5,1,5,3,1,1,253,906,77,21,96,PORT,others
5,1,5,3,1,2,342,906,38,21,96,OF,others
5,1,5,3,1,3,394,906,176,21,96,DISCHARGE,others
5,1,5,3,1,4,653,906,4,25,58,|,others
5,1,5,3,1,5,1206,906,90,21,96,PLACE,others
